N° RECETA	BATCH	LITERAL 	FÓRMULA	INGREDIENTE	CANTIDAD	BATERIA	CONTROLADOR	TOLVA
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	AVAILA DAIRY	0	B2	C3	M4
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NOTOX REPRODUCTION	0	B2	C4	M1
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	CERTILLUS	0	B2	C4	M2
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NUCLEO BETAS 	0	B2	C4	M3
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	ISOFERM 	41.666675	B2	C5	M1
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NA	0	B2	C5	M2
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NA	0	B2	C5	M3
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NA	0	B2	C5	M4
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	TRIKI TRAKES	0	B1	C1	M1
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	CALCIO	323.64405	B1	C1	M2
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	SAL MOLIDA	0	B1	C1	M3
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	ORTOFOSFATO 21%	92.6589	B1	C1	M4
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	OXIDO MAGNESIO NP	0	B1	C2	M1
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	BICARBONATO SODIO	0	B1	C2	M2
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	CALSEA POWER	0	B1	C2	M3
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	REDMOND (OTO)	0	B1	C2	M4
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	SESQUICARBONATO	0	B2	C3	M1
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	CARRIER 3%	0	B2	C3	M2
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	UREA	0	B2	C3	M3
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	AVAILA DAIRY	0	B2	C3	M4
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	NOTOX REPRODUCTION	0	B2	C4	M1
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	CERTILLUS	0	B2	C4	M2
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	NUCLEO BETAS 	0	B2	C4	M3
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	ISOFERM 	0	B2	C5	M1
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	NA	0	B2	C5	M2
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	NA	0	B2	C5	M3
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	NA	0	B2	C5	M4
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	TRIKI TRAKES	0	B1	C1	M1
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	CALCIO	323.64405	B1	C1	M2
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	SAL MOLIDA	0	B1	C1	M3
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	ORTOFOSFATO 21%	92.6589	B1	C1	M4
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	OXIDO MAGNESIO NP	0	B1	C2	M1
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	BICARBONATO SODIO	0	B1	C2	M2
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	CALSEA POWER	0	B1	C2	M3
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	REDMOND (OTO)	0	B1	C2	M4
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	SESQUICARBONATO	0	B2	C3	M1
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	CARRIER 3%	0	B2	C3	M2
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	UREA	0	B2	C3	M3
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	AVAILA DAIRY	0	B2	C3	M4
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	NOTOX REPRODUCTION	0	B2	C4	M1
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	CERTILLUS	0	B2	C4	M2
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	NUCLEO BETAS 	0	B2	C4	M3
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	ISOFERM 	0	B2	C5	M1
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	NA	0	B2	C5	M2
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	NA	0	B2	C5	M3
7	500	IAX-03-006	SECAS AFLA VIT VILLA VERDE	NA	0	B2	C5	M4
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	TRIKI TRAKES	14.551195	B1	C1	M1
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	CALCIO	74.97715	B1	C1	M2
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	SAL MOLIDA	0	B1	C1	M3
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	ORTOFOSFATO 21%	18.83315	B1	C1	M4
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	OXIDO MAGNESIO NP	18.83315	B1	C2	M1
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	BICARBONATO SODIO	0	B1	C2	M2
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	CALSEA POWER	0	B1	C2	M3
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	REDMOND (OTO)	0	B1	C2	M4
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	SESQUICARBONATO	0	B2	C3	M1
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	CARRIER 3%	0	B2	C3	M2
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	UREA	0	B2	C3	M3
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	AVAILA DAIRY	0	B2	C3	M4
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	NOTOX REPRODUCTION	0	B2	C4	M1
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	CERTILLUS	0	B2	C4	M2
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	NUCLEO BETAS 	0	B2	C4	M3
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	ISOFERM 	16.992	B2	C5	M1
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	NA	0	B2	C5	M2
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	NA	0	B2	C5	M3
8	250	IAW-02-008	RETO NUTRITEK SELLA ISOFERM	NA	0	B2	C5	M4
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	TRIKI TRAKES	14.551195	B1	C1	M1
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	CALCIO	74.97715	B1	C1	M2
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	SAL MOLIDA	0	B1	C1	M3
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	ORTOFOSFATO 21%	18.83315	B1	C1	M4
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	OXIDO MAGNESIO NP	18.83315	B1	C2	M1
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	BICARBONATO SODIO	0	B1	C2	M2
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	CALSEA POWER	0	B1	C2	M3
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	REDMOND (OTO)	0	B1	C2	M4
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	SESQUICARBONATO	0	B2	C3	M1
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	CARRIER 3%	0	B2	C3	M2
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	UREA	0	B2	C3	M3
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	AVAILA DAIRY	0	B2	C3	M4
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	NOTOX REPRODUCTION	0	B2	C4	M1
